amount,dealsubtype,dealtype,from.id,from.label,from.name,from.taxonomy,id,realsector,sector.id,sector.label,sector.name,sector.taxonomy,time.day,time.id,time.label,time.month,time.name,time.quarter,time.taxonomy,time.week,time.year,time.yearmonth,to.id,to.label,to.name,to.taxonomy
1000000.0,,direct sale,84,Slovakia,sk,from,e3a97a60fe8581f90434077fb6c07d58bf56e290,Transportation,1,Infrastructure,infrastructure,sector,01,20,01. January 1994,01,1994-01-01,0,time,00,1994,199401,8630,Nakl. automobil- Michalovce,nakl-automobil-michalovce,to
1000000.0,,Auction,79,Romania,ro,from,e3cf72af6ac04020aa23db718fe205751ab20f99,Construction,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7347,METAL S.A.,metal-s-a,to
1000000.0,,Auction & closed subscription,7,Azerbaijan,az,from,e3e1aeeb9880b2c408c08b9213187b2efa2d2901,"Production, storage and sale of cotton",8,Manufacturing & Services,manufacturing-services,sector,01,11,01. January 1997,01,1997-01-01,0,time,00,1997,199701,2112,Yevlax-Pambiq,yevlax-pambiq,to
1000000.0,,Auction,79,Romania,ro,from,e41e57d7907a1037b181b90a418b369355f614c0,Trade,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7953,ALIMENTARA 2 S.A.,alimentara-2-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e424978613485b8bde1d9218a78ea967d642dc94,Trade and retail,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8081,MAGAZIN 26 INCALTAMINTE S.A.,magazin-26-incaltaminte-s-a,to
1000000.0,,For employees,40,Hungary,hu,from,e491ec3dfa7834f2cf799e14ffffc85f52d611d4,Manufacturing,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,4111,DAM Diósgyori Acélmuvek Rt.,dam-diosgyori-acelmuvek-rt,to
1000000.0,,Auction,79,Romania,ro,from,e4951474e4d554a0925ffb8118a1da644f9cac65,Trade and retail,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8061,VITADULCI S.A.,vitadulci-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e4d28bd9f7e8ac1d0eb55477eb8912a1b113b2b1,Trade,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7971,APARTAMENTUL S.A.,apartamentul-s-a,to
1000000.0,,,26,Czech Republic,cz,from,e4e3abcfd31d212ad98715948ecfeb2055594de9,Tools,8,Manufacturing & Services,manufacturing-services,sector,01,19,01. January 1992,01,1992-01-01,0,time,00,1992,199201,3201,Tona Pecky,tona-pecky,to
1000000.0,,Negotiation,79,Romania,ro,from,e51cc04c2f74ee1f379d879d09e282a6b0e3a937,Trade and retail,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8028,RODICA G PROD COM S.A.,rodica-g-prod-com-s-a,to
1000000.0,,Negotiation,79,Romania,ro,from,e541bef542196220849d434ebf3d15380101e78c,Trade,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7927,SEICA UROMA S.A.,seica-uroma-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e557c430a7c83df1f758a7a5361c7b4a96793b31,Services,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8160,AGROMEC NUCET S.A.,agromec-nucet-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e58ec0a86ed2d92ea09739f47060a987e3a78c9c,Trade and retail,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8043,BAETU S.A.,baetu-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e596b586d58c0ff013f404961d6074297b118c39,Transport,1,Infrastructure,infrastructure,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8257,TRANSLOC S.A.,transloc-s-a,to
1000000.0,,Negotiation,79,Romania,ro,from,e597126b681aded5db382267e86b688371ed43d6,Agribusiness,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7301,SUINPROD LET S.A.,suinprod-let-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e609d17abfcd92e09107dcb233267fbe9e12a1b7,Transport,1,Infrastructure,infrastructure,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8247,TRANSPORT TAXI DUNAREA ALBASTRA S.A.,transport-taxi-dunarea-albastra-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e60a10b6b68c124cca888e918ef0eb28b5a39ea1,Construction,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7311,PRATMIN S.A.,pratmin-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e63ad646ce4aa752e72cc9cfb85395e2af89a259,Services,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7848,AGROMEC OBARSIA S.A.,agromec-obarsia-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e64225570865cd2b7f71b34693270064694a43d4,Services,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7795,AGROMEC CIUMESTI S.A.,agromec-ciumesti-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e65d7f9a788048ce1b39fb792329b32f620fb1e4,Transport,1,Infrastructure,infrastructure,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8266,TRANSMARFA S.A.,transmarfa-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e65e23dfe0faaf6ca2745e3dd9f29623a421cf1a,Services,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,8222,AGROMEC BIBESTI S.A.,agromec-bibesti-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e67d9a7bfb0160c2e8543c5688e932a09055f417,Manufacturing,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7443,PANVITAN S.A.,panvitan-s-a,to
1000000.0,,Auction,79,Romania,ro,from,e6963a1906bd2031e9030cc913e1ba6b0ed71552,Trade,9,Services,services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7929,MC ARITON S.A.,mc-ariton-s-a,to
1000000.0,,Trade sale,78,Poland,pl,from,e6c88dce61c0306f35662fbc8f7f26374dfb31ba,Construction,8,Manufacturing & Services,manufacturing-services,sector,01,12,01. January 1998,01,1998-01-01,0,time,00,1998,199801,7108,Inzynieria Bialystok sp. Zoo,inzynieria-bialystok-sp-zoo,to
1000000.0,,direct sale,66,Morocco,ma,from,e705fbcdde9eb9f1b9c9b2590207c841a67f1547,Hotel,9,Services,services,sector,01,20,01. January 1994,01,1994-01-01,0,time,00,1994,199401,6038,Hotel Rissani,hotel-rissani,to
